,price,address,area,bed,baths,halfBaths
0,"$645,000","400 East 56th Street 9J , New York NY 10022",927 sq.ft,1 bed,1 bath,1 half bath
1,"$2,000,000","635 West 42nd Street 34A , New York NY 10036",N/A,2 beds,2 baths,N/A
2,"$1,700,000","635 West 42nd Street 35J , New York NY 10036",N/A,2 beds,2 baths,N/A
3,"$1,100,000","635 West 42nd Street 26C , New York NY 10036",N/A,1 bed,1 bath,N/A
4,"$749,000","400 East 56th Street 17O , New York NY 10022",N/A,1 bed,1 bath,1 half bath
5,"$625,000","400 East 56th Street 34S , New York NY 10022",N/A,1 bed,1 bath,N/A
6,"$3,275,000","27 Eldridge Street , New York NY 10002","4,260 sq.ft",N/A,N/A,N/A
7,"$8,995,000","260 Bowery Unit PH , New York NY 10012","4,156 sq.ft",4 beds,4 baths,N/A
8,"$790,000","301 E 48th Street 3C , New York NY 10017",950 sq.ft,1 bed,1 bath,N/A
9,"$1,150,000","400 E 56th Street Unit 11G , New York NY 10022",N/A,2 beds,2 baths,N/A
10,"$1,450,000","211 E 46th Street 25G , New York NY 10017",911 sq.ft,2 beds,2 baths,N/A
11,"$999,000","205 Third Avenue 6C , New York NY 10003",N/A,1 bed,1 bath,N/A
12,"$3,700,000","70 East 77th Street 3C , New York NY 10075","2,200 sq.ft",3 beds,2 baths,1 half bath
13,"$2,797,000","249 E 50th Street TH1 , New York NY 10022","1,399 sq.ft",2 beds,2 baths,1 half bath
14,"$1,168,000","128 Mott Street 403 , New York NY 10013",N/A,4 beds,N/A,1 half bath
15,"$879,000","51 Saint Marks Pl 10 , New York NY 10003",860 sq.ft,2 beds,1 bath,N/A
16,"$575,000","310 Lexington Avenue 13-F , New York NY 10016",600 sq.ft,1 bed,1 bath,N/A
17,"$475,000","101 West 12th Street 2Z , New York NY 10011",N/A,N/A,1 bath,N/A
18,"$3,500,000","30 E 31st Street Unit 35 , New York NY 10016","1,677 sq.ft",2 beds,2 baths,1 half bath
19,"$380,000","307 W 153rd Street Unit 19 , New York NY 10039",610 sq.ft,2 beds,1 bath,N/A
