,team_name,year,wins,losses,otLosses,pct,gf,ga,diff
0,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
1,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
2,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
3,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
4,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
5,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
6,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
7,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
8,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
9,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
10,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
11,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
12,New York Rangers,1990,36,31,N/A,0.45,297,265,32
13,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
14,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
15,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
16,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
17,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
18,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
19,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
20,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
21,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
22,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
23,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
24,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
25,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
26,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
27,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
28,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
29,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
30,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
31,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
32,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
33,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
34,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
35,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
36,New York Islanders,1990,25,45,N/A,0.312,223,290,-67
37,New York Rangers,1990,36,31,N/A,0.45,297,265,32
38,Philadelphia Flyers,1990,33,37,N/A,0.412,252,267,-15
39,Pittsburgh Penguins,1990,41,33,N/A,0.512,342,305,37
40,Quebec Nordiques,1990,16,50,N/A,0.2,236,354,-118
41,St. Louis Blues,1990,47,22,N/A,0.588,310,250,60
42,Toronto Maple Leafs,1990,23,46,N/A,0.287,241,318,-77
43,Vancouver Canucks,1990,28,43,N/A,0.35,243,315,-72
44,Washington Capitals,1990,37,36,N/A,0.463,258,258,0
45,Winnipeg Jets,1990,26,43,N/A,0.325,260,288,-28
46,Boston Bruins,1991,36,32,N/A,0.45,270,275,-5
47,Buffalo Sabres,1991,31,37,N/A,0.388,289,299,-10
48,Calgary Flames,1991,31,37,N/A,0.388,296,305,-9
49,Chicago Blackhawks,1991,36,29,N/A,0.45,257,236,21
50,Boston Bruins,1990,44,24,N/A,0.55,299,264,35
51,Buffalo Sabres,1990,31,30,N/A,0.388,292,278,14
52,Calgary Flames,1990,46,26,N/A,0.575,344,263,81
53,Chicago Blackhawks,1990,49,23,N/A,0.613,284,211,73
54,Detroit Red Wings,1990,34,38,N/A,0.425,273,298,-25
55,Edmonton Oilers,1990,37,37,N/A,0.463,272,272,0
56,Hartford Whalers,1990,31,38,N/A,0.388,238,276,-38
57,Los Angeles Kings,1990,46,24,N/A,0.575,340,254,86
58,Minnesota North Stars,1990,27,39,N/A,0.338,256,266,-10
59,Montreal Canadiens,1990,39,30,N/A,0.487,273,249,24
60,New Jersey Devils,1990,32,33,N/A,0.4,272,264,8
