,price,address,area,bed,baths,halfBaths
0,"$1,000,000","382 Audubon Avenue , New York NY 10033",N/A,4 beds,2 baths,N/A
1,"$449,000","2025 Broadway 7G , New York NY 10023",406 sq.ft,N/A,1 bath,N/A
2,"$790,000","301 E 48th Street 3C , New York NY 10017",950 sq.ft,1 bed,1 bath,N/A
3,"$585,000","333 E 119th Street 4J , New York NY 10035","1,047 sq.ft",2 beds,2 baths,N/A
4,"$2,000,000","635 West 42nd Street 34A , New York NY 10036",N/A,2 beds,2 baths,N/A
5,"$1,700,000","635 West 42nd Street 35J , New York NY 10036",N/A,2 beds,2 baths,N/A
6,"$1,100,000","635 West 42nd Street 26C , New York NY 10036",N/A,1 bed,1 bath,N/A
7,"$495,000","467 W 57th Street 3A , New York NY 10019",500 sq.ft,1 bed,1 bath,N/A
8,"$399,000","664 West 161 Street 5E , New York NY 10032",N/A,2 beds,1 bath,N/A
9,"$3,250,000","167 E 82nd Street Unit 5B , New York NY 10028","1,621 sq.ft",3 beds,2 baths,1 half bath
10,"$1,999,000","800 Riverside Drive GRI , New York NY 10032","2,100 sq.ft",3 beds,2 baths,N/A
11,"$1,565,000","340 West 57th Street 8B , New York NY 10019","1,196 sq.ft",2 beds,1 bath,N/A
12,"$2,500,000","336 Central Park W Unit 3B , New York NY 10025",N/A,2 beds,2 baths,1 half bath
13,"$725,000","245 East 54th Street 16M 16M , New York NY 10022",850 sq.ft,1 bed,1 bath,N/A
14,"$575,000","200 East 36th Street 2G 2G , New York NY 10016",N/A,1 bed,1 bath,N/A
15,"$639,000","245 East 54th Street 5K 5K , New York NY 10022",N/A,1 bed,1 bath,N/A
16,"$599,000","245 East 54th Street 9A 9A , New York NY 10022",N/A,1 bed,1 bath,N/A
17,"$890,000","315 East 65th Street 4L 4L , New York NY 10021",900 sq.ft,2 beds,1 bath,N/A
18,"$599,000","200 East 36th Street 9C 9C , New York NY 10016",N/A,1 bed,1 bath,N/A
19,"$530,000","211 East 53rd Street 11M 11M , New York NY 10022",N/A,N/A,1 bath,N/A
20,N/A,N/A,N/A,N/A,N/A,N/A
21,"$599,888","78 West 85th Street 2-C , New York NY 10024",438 sq.ft,N/A,1 bath,N/A
22,"$265,888","30 Macombs Place 32 , New York NY 10039",600 sq.ft,2 beds,1 bath,N/A
23,"$2,445,000","333 E 82nd Street 4C , New York NY 10028","1,171 sq.ft",2 beds,2 baths,N/A
24,"$2,250,000","100 Hudson Street 5A , New York NY 10013","1,050 sq.ft",2 beds,1 bath,N/A
25,"$519,000","10 W 15th Street 813 , New York NY 10011",N/A,N/A,1 bath,N/A
26,"$500,000","90 Gold Street 5A , New York NY 10038",N/A,N/A,1 bath,N/A
27,"$1,595,000","334 W 86th Street Unit 11C , New York NY 10024",N/A,2 beds,2 baths,N/A
28,"$19,950,000","527 W 27th Street PHA , New York NY 10001","4,552 sq.ft",4 beds,1 bath,1 half bath
29,"$5,999,000","425 E 58th Street 37A , New York NY 10022","6,400 sq.ft",5 beds,5 baths,1 half bath
30,"$4,650,000","527 W 27th Street 4S , New York NY 10001","1,997 sq.ft",2 beds,2 baths,1 half bath
31,"$1,390,000","420 W 23rd Street PA-1 , New York NY 10011",920 sq.ft,N/A,1 bath,1 half bath
32,"$1,150,000","50 Bayard Street 6-M , New York NY 10013",N/A,2 beds,1 bath,N/A
33,"$699,000","140 West End Avenue 4J , New York NY 10023",N/A,1 bed,1 bath,N/A
34,"$6,895,000","532 W 20th Street Unit 4 , New York NY 10011","2,662 sq.ft",4 beds,3 baths,1 half bath
35,"$7,499,000","300 Spring Street PH , New York NY 10013","4,138 sq.ft",3 beds,3 baths,1 half bath
36,"$3,995,000","219 E 44th Street 32 , New York NY 10017","2,446 sq.ft",3 beds,3 baths,1 half bath
37,"$2,700,000","311 W 139th Street , New York NY 10030","3,400 sq.ft",11 beds,4 baths,N/A
38,"$1,699,000","316  West 116th Street 3A , New York NY 10026","2,025 sq.ft",3 beds,2 baths,1 half bath
39,"$1,499,000","100 Norfolk Street 1A , New York NY 10002","1,246 sq.ft",1 bed,1 bath,1 half bath
40,"$1,349,000","400 E 56th Street 29-H , New York NY 10022","1,500 sq.ft",2 beds,2 baths,N/A
41,N/A,N/A,N/A,N/A,N/A,N/A
42,"$6,250,000","150 Central Park South 19 1904 , New York NY 10019",N/A,2 beds,2 baths,N/A
43,"$2,799,000",New York NY 10002,N/A,2 beds,2 baths,N/A
44,"$175,000","100 West 57th Street 16-N , New York NY 10019",N/A,N/A,N/A,N/A
45,"$3,488,000","15 W 17th Street 8 , New York NY 10011","2,221 sq.ft",3 beds,2 baths,N/A
46,"$1,650,000","885 Park Avenue 1-C , New York NY 10075","2,100 sq.ft",N/A,2 baths,N/A
47,"$474,900","100 Beekman Street 2A , New York NY 10038",500 sq.ft,N/A,1 bath,N/A
48,"$550,000","50-54 E 8th Street Unit 2K , New York NY 10003",N/A,N/A,1 bath,N/A
49,"$2,950,000","30 E 31st Street Unit 29 , New York NY 10016","1,677 sq.ft",2 beds,2 baths,1 half bath
50,"$1,099,000","411-421 Manhattan Avenue Unit 11 , New York NY 10026",979 sq.ft,3 beds,2 baths,N/A
